date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:06	5604/5604	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2019:03:50%20GMT	https://steal.lol/visual	C:/My%20Web%20Sites/cpp;/steal.lol/visual.html	(from https://steal.lol/)
22:03:06	5478/5478	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2003:28:08%20GMT	https://steal.lol/kman	C:/My%20Web%20Sites/cpp;/steal.lol/kman.html	(from https://steal.lol/)
22:03:06	1089797/1089797	---M--	200	added ('OK')	audio/mpeg	date:Wed,%2001%20Nov%202023%2020:27:28%20GMT	https://steal.lol/assets/media/vile.mp3	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/vile.mp3	(from https://steal.lol/)
22:03:06	12051/12051	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2001%20Nov%202023%2020:27:28%20GMT	https://steal.lol/assets/js/audio.js	C:/My%20Web%20Sites/cpp;/steal.lol/assets/js/audio.js	(from https://steal.lol/)
22:03:06	6899/6899	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202023%2006:20:00%20GMT	https://steal.lol/assets/js/sparkle.js	C:/My%20Web%20Sites/cpp;/steal.lol/assets/js/sparkle.js	(from https://steal.lol/)
22:03:06	2370/2370	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Nov%202023%2005:29:34%20GMT	https://steal.lol/assets/js/disable_inspect.js	C:/My%20Web%20Sites/cpp;/steal.lol/assets/js/disable_inspect.js	(from https://steal.lol/)
22:03:07	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Dec%202023%2003:03:08%20GMT	https://steal.lol/web/20220823031411im_/https://vile.sh/assets/vile.css	C:/My%20Web%20Sites/cpp;/steal.lol/web/20220823031411im_/https_/vile.sh/assets/vile.css	(from https://steal.lol/assets/css/vile.css)
22:03:07	31000/31000	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Aug%202019%2013:35:32%20GMT	https://steal.lol/assets/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/cpp;/steal.lol/assets/font-awesome-4.7.0/css/font-awesome.min.css	(from https://steal.lol/yosef)
22:03:07	279366/279366	---M--	200	added ('OK')	image/webp	date:Thu,%2030%20Nov%202023%2009:41:00%20GMT	https://steal.lol/assets/media/profiles/Yosef/yosefpfp.webp	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/profiles/Yosef/yosefpfp.webp	(from https://steal.lol/yosef)
22:03:08	2498545/2498545	---M--	200	added ('OK')	audio/mpeg	date:Sat,%2009%20Dec%202023%2006:35:50%20GMT	https://steal.lol/assets/media/profiles/Yosef/yo.mp3	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/profiles/Yosef/yo.mp3	(from https://steal.lol/yosef)
22:03:27	2948983/2948983	---M--	200	added ('OK')	image/gif	date:Thu,%2030%20Nov%202023%2009:17:10%20GMT	https://steal.lol/assets/media/profiles/Visual/dwas.gif	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/profiles/Visual/dwas.gif	(from https://steal.lol/visual)
22:03:27	3380779/3380779	---M--	200	added ('OK')	audio/mpeg	date:Thu,%2030%20Nov%202023%2009:08:16%20GMT	https://steal.lol/assets/media/profiles/Visual/ellene.mp3	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/profiles/Visual/ellene.mp3	(from https://steal.lol/visual)
22:03:27	113739/113739	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202023%2003:15:58%20GMT	https://steal.lol/assets/media/profiles/Kman/kman.png	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/profiles/Kman/kman.png	(from https://steal.lol/kman)
22:03:31	130927/130927	---M--	200	added ('OK')	audio/mpeg	date:Fri,%2001%20Dec%202023%2003:25:42%20GMT	https://steal.lol/assets/media/profiles/Kman/Kman.mp3	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/profiles/Kman/Kman.mp3	(from https://steal.lol/kman)
22:03:34	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Aug%202019%2013:35:30%20GMT	https://steal.lol/assets/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/cpp;/steal.lol/assets/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from https://steal.lol/assets/font-awesome-4.7.0/css/font-awesome.min.css)
22:03:35	5589936/5589936	---M--	200	added ('OK')	video/quicktime	date:Fri,%2001%20Dec%202023%2003:12:30%20GMT	https://steal.lol/assets/media/profiles/Kman/Kman.mov	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/profiles/Kman/Kman.qt	(from https://steal.lol/kman)
22:03:35	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Aug%202019%2013:35:30%20GMT	https://steal.lol/assets/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/cpp;/steal.lol/assets/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.html	(from https://steal.lol/assets/font-awesome-4.7.0/css/font-awesome.min.css)
22:03:36	35418593/35418593	---M--	200	added ('OK')	video/mp4	date:Sat,%2009%20Dec%202023%2006:36:27%20GMT	https://steal.lol/assets/media/profiles/Yosef/yo.mp4	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/profiles/Yosef/yo.mp4	(from https://steal.lol/yosef)
22:03:39	42391403/42391403	---M--	200	added ('OK')	video/mp4	date:Thu,%2030%20Nov%202023%2009:11:36%20GMT	https://steal.lol/assets/media/profiles/Visual/visvid.mp4	C:/My%20Web%20Sites/cpp;/steal.lol/assets/media/profiles/Visual/visvid.mp4	(from https://steal.lol/visual)
